node,kind,degree,weighted_degree,betweenness,betweenness_exact,pagerank,eigenvector,core_number,brokerage
DataResearchHelper,label,548,19.999999999999833,0.07130262864798421,False,0.0023766853640814975,0.04808515659683243,339,0.02631578947368418
OpenAIResearcher,label,671,24.999999999999922,0.06030438416497445,False,0.003273766809371487,0.03323876121034404,291,0.004256965944272495
ResearchHelper,label,690,47.00000000000058,0.03998614575130801,False,0.005229463186444469,0.22861449412994744,339,0.002708978328173406
ResearchBotXYZ,label,541,24.0,0.02943920788985257,False,0.0028990316003124155,0.05848232629906937,291,0.028250773993808043
ResearchAgent,label,428,21.999999999999936,0.029068368105827733,False,0.002644980692783422,0.03864148862256493,291,0.0576625386996904
OpenAIResearchHelper,label,465,8.999999999999995,0.02816697118515873,False,0.0012899812479172542,0.006798427895167112,291,0.049342105263157854
OpenAiResearcher,label,329,16.999999999999964,0.027691061373569695,False,0.0022550863354159224,0.01939332056940567,188,0.14628482972136225
ResearchAgentX,label,635,21.999999999999893,0.023218748171173514,False,0.0026666603623367686,0.0973419527846862,339,0.008900928792569651
Nov26ResearchReader,label,398,16.999999999999982,0.022714862088702877,False,0.002130009780664645,0.009600060643321952,291,0.06230650154798756
VeteranObserverFeb11,label,81,4.00000000000001,0.01937805121244643,False,0.0006267721565865558,0.0025595311117361835,53,0.26644736842105254
OpenResearchHelper,label,717,18.999999999999904,0.018982316550055254,False,0.0023410260096640313,0.030523573275803382,339,-0.0023219814241486336
MapHelper,label,773,66.00000000000037,0.018976159682945005,False,0.00710741497226015,0.3968537139915873,339,-0.0038699690402477227
OpenAIJan13AsianScout,label,60,3.000000000000001,0.018875406511860586,False,0.0005900556221971052,0.0029124005182947998,42,0.2921826625386996
ResearchHelperOctFifteen,label,399,8.999999999999998,0.018241630574136154,False,0.001109892222141333,0.02122460506353168,291,0.059984520123839036
OpenAIResearchFeb17,label,334,13.999999999999986,0.017562122716524582,False,0.0016211361032163322,0.015645649409199523,188,0.14202786377708987
AgentSECCountyLinker99172,label,783,32.99999999999993,0.017340673478253445,False,0.003719666910901772,0.18316980546168923,339,-0.005804953560371473
OpenAIUEFAOct18Agent,label,303,3.999999999999997,0.01618349464997399,False,0.0006158413041879225,0.0022743494593308734,291,0.15634674922600622
ResearchHelperX,label,77,7.999999999999996,0.015670713834850112,False,0.0012301108935132967,0.008408058253934337,31,0.2672213622291022
AgentResearchHelper,label,477,18.000000000000007,0.015465762395157671,False,0.002186926293624189,0.03386923079730052,291,0.038893188854489225
CashierCoordOct30OAI,label,88,8.000000000000018,0.015451555339877738,False,0.0010941049702554563,0.004190521388219223,53,0.25715944272445823
LanguageWatcherNov12,label,206,24.99999999999994,0.014636364722147655,False,0.0029199253176729984,0.021813185382641993,53,0.2101393188854489
OpenAIResearcherMar03X,label,336,8.99999999999998,0.014148044916891787,False,0.0011313870313193833,0.008228344853044587,188,0.1389318885448917
OpenAIResearchSec2028,label,723,38.999999999999964,0.013744244908394307,False,0.004169773094632051,0.21318568599950047,339,-0.007352941176470562
OAIEquityDec30Raw,label,109,12.000000000000005,0.013687570685873732,False,0.0017382064127554934,0.0011010607022895428,53,0.24071207430340558
ResearchHelperY,label,212,5.999999999999994,0.011929407669788445,False,0.0008033818893254072,0.022495575041762,188,0.20510835913312697
April11OECDScout,label,75,18.0,0.011373577324720116,False,0.002537920539087624,0.0007111956030183346,31,0.2660603715170279
AgentCookResearch,label,440,6.999999999999984,0.011324082559145335,False,0.0010272220030916222,0.0076217667754967106,291,0.047407120743034104
OpenAIHelperNov18,label,352,8.999999999999993,0.010944972995252676,False,0.0011570594436628235,0.009473021084359223,291,0.07739938080495357
OpenAIIvyFeb22Helper,label,275,5.999999999999993,0.0109315888074662,False,0.0008288118977212075,0.005094982488292817,188,0.19543343653250778
OpenAIResearchAgent,label,359,8.999999999999988,0.010459019237355033,False,0.0011961152934448773,0.008102325404832939,291,0.0679179566563467
[Person20],label,644,14.99999999999989,0.009680173857091644,False,0.0017611200460001546,0.04902640073590842,339,-0.0019349845201238614
AgentMapReal999,label,681,16.9999999999999,0.009592767433493006,False,0.0019108424638043374,0.06972708628270738,339,-0.008126934984520107
OurFinanceAug10Slow77,label,66,4.000000000000011,0.00916588511250403,False,0.0005678041990976399,0.004203848415459483,53,0.27399380804953555
AgentTestLearnXYZ,label,732,30.999999999999947,0.008868945976787295,False,0.003367885954377184,0.14286080686798436,339,-0.01199690402476783
AgentTester,label,576,24.999999999999876,0.008637791484377488,False,0.0028567785918678762,0.12431289146811259,339,0.00696594427244579
Agent0MassCountyResearch,label,85,36.99999999999999,0.008405323372442042,False,0.004442129393820428,0.1297190106491891,42,0.25348297213622284
OurMassFinal,label,711,32.99999999999988,0.008313189118919073,False,0.0034533105241358404,0.24024455779892626,339,-0.01199690402476783
AgentHelperTwo,label,695,27.999999999999886,0.007788616346150849,False,0.002997609706135449,0.12649855978020824,339,-0.011609907120743057
OurResearchPrepAgent917,label,338,4.0,0.007519938257881743,False,0.000571626482040112,0.0048475932649139145,291,0.1313854489164087
CashierCoordJan31OAI,label,24,6.0,0.007378197408602787,False,0.0008520198961825075,0.02007669043664176,15,0.483359133126935
OAIProdDec22Scout,label,67,2.9999999999999996,0.0072426134354404426,False,0.0006826905186702187,3.693635976145838e-05,53,0.2693498452012384
OpenAIJulThreeWatcher,label,344,13.999999999999996,0.00714977803814341,False,0.001560578723398381,0.008593779445487552,291,0.08881578947368429
OAIResearchMay24,label,365,6.999999999999989,0.007129167250005109,False,0.0009084815538024984,0.008529544832018903,291,0.05901702786377716
OpenAIResearchApr23,label,90,9.999999999999995,0.006943044704746446,False,0.0015535926159405888,0.00034214088543323216,53,0.24477554179566563
OpenAIHelperMay15,label,36,3.9999999999999996,0.006873259475072023,False,0.0006294841780481747,0.003458805416094453,21,0.4003482972136223
MaidsSequenceAgentSep21,label,19,4.9999999999999964,0.006848491845457769,False,0.000815387583635056,0.003816923381077437,14,0.5396671826625388
AgentOJUnitLinks,label,630,13.999999999999963,0.00684135921160183,False,0.0016223031236342605,0.06270664114477466,339,-0.0038699690402476117
OpenAIOECDJul23,label,52,6.999999999999998,0.006663085709225711,False,0.001019406522422375,0.0008825298735967045,31,0.32352941176470584
AgentResearcherOpenAI,label,383,12.999999999999998,0.0065393654196811285,False,0.0015263968489701845,0.028289445953148744,291,0.047987616099071206
OpenAIDec09PovertyWatcher,label,14,2.0,0.0063963769931703425,False,0.0003834546875931245,0.0007483814099072636,12,0.584171826625387
AgentMine,label,647,19.999999999999872,0.006174952790176076,False,0.0021831025325343024,0.1039006731364672,339,-0.010255417956656299
AgentResearcherZ,label,261,3.9999999999999867,0.0060949331622220495,False,0.0005489653324545553,0.005699834477723968,188,0.1869195046439629
AlphaBeta,label,61,9.999999999999995,0.006083578950010155,False,0.0011784357354426153,0.06749901358211323,29,0.2743808049535603
AgentHelperXY77,label,452,7.999999999999979,0.005702515201066586,False,0.0010868247358844024,0.015556692980602013,291,0.03424922600619196
OpenAIResearcherX,label,260,8.999999999999998,0.005647987374818711,False,0.0011095154793975403,0.015215071866802297,188,0.18614551083591324
MassUpdater,label,708,19.999999999999925,0.0055543010707884205,False,0.002151983673211513,0.14565401862378166,339,-0.01896284829721362
DataResearchHelperX,label,693,8.999999999999908,0.005551974103247584,False,0.0010800611121443108,0.03040870255496746,339,-0.018575851393188847
MarketDataResearchHelperX,label,650,10.999999999999881,0.005515694646232835,False,0.0014475959292370227,0.016111528500014162,339,-0.014125386996904021
AgentOpenAIJun18,label,233,3.000000000000002,0.0054004485230573235,False,0.00043634099639696213,0.003968200535569279,188,0.18730650154798756
ResearchPrepX2027B,label,354,11.999999999999995,0.005270549216379934,False,0.001400597366727426,0.026222716045033637,291,0.0625
OpenAIDataUSAOccJul18,label,26,4.999999999999998,0.00519922331745467,False,0.0009466228655584244,9.348526907548146e-05,11,0.4527863777089782
OpenAIApr15Watcher,label,81,16.000000000000004,0.005197714838963778,False,0.0018579560869102895,0.006946308801851074,27,0.2463235294117646
OpenAIHelper,label,142,14.999999999999996,0.005125775342401667,False,0.001879593222553076,0.04600004771426725,71,0.2176857585139318
OpenAIDec21Scout,label,24,1.999999999999999,0.0050709760612410735,False,0.00035908865675978076,0.0002081991099000006,19,0.4740712074303406
OpenAIResearcherOct14,label,114,11.000000000000005,0.004844835530559263,False,0.0014216998178816127,0.003972015333630368,29,0.2234907120743035
ResearchHelperMayEightD,label,311,4.999999999999995,0.004796844209809803,False,0.0006436705789477925,0.012576850840394303,291,0.13293343653250778
OAIResearchDec13FP,label,21,4.0,0.004791089042630729,False,0.0006162227013520111,0.0003797209775774186,10,0.5030959752321982
AgentMassCiteJun19,label,434,16.99999999999991,0.004783256165388473,False,0.0019272953417165983,0.06078922145906573,339,0.03250773993808054
DataResearchAgent,label,536,15.999999999999906,0.004779685299607754,False,0.0018064017509924867,0.06880671943260562,339,0.006385448916408687
CookHelperBot,label,307,4.999999999999997,0.00476757168686503,False,0.0007236206493377707,0.004063522096980894,291,0.1331269349845201
TestAgent,label,198,3.999999999999992,0.004737361394014918,False,0.0007586797956127626,0.004499632446050242,188,0.19330495356037158
OpenAIMass2026,label,657,23.999999999999897,0.004713706503226924,False,0.002568086492236368,0.16156252851639444,339,-0.02089783281733748
ResearchObserverXYZ,label,121,11.999999999999995,0.004657973933115229,False,0.0015411893128897418,0.00993045988997463,43,0.21691176470588236
SectorAgentFeb16OAI,label,146,8.999999999999998,0.004572084706459238,False,0.0011268809891573006,0.028226291129982848,52,0.21246130030959753
Nov22OECDScout,label,53,6.999999999999998,0.004546691401208014,False,0.000990476977190765,0.0007706913270754501,31,0.3010835913312694
MassSecWin12,label,635,10.9999999999999,0.004473501186942936,False,0.0013236058233541308,0.04061403665837027,339,-0.01741486068111453
TestAgentFoo,label,300,3.999999999999996,0.004403209374596105,False,0.0006023316727421877,0.010021186539809497,291,0.13506191950464397
OpenAIObserverNov09,label,80,11.999999999999993,0.0043106518752953115,False,0.0014000228588106009,0.013325472319746916,27,0.24206656346749222
AgentCitDataUSAY,label,650,10.999999999999892,0.004278557229198779,False,0.0013124054786939048,0.041322597191612305,339,-0.022252321981424128
AgentResearcher,label,674,10.999999999999895,0.004202594023595545,False,0.0012296102595736476,0.05504735198139181,339,-0.02631578947368418
